color	lecture
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
yes	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
no	8AM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
yes	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
no	1PM
